Company Name,Industry,Symbol,Series,ISIN Code,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,get_historical
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042,3861249,15083,ADANIPORTS,ADANI PORT & SEZ,0,,0,0.05,1,EQ,NSE,NSE,N
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026,60417,236,ASIANPAINT,ASIAN PAINTS,0,,0,0.05,1,EQ,NSE,NSE,N
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034,1510401,5900,AXISBANK,AXIS BANK,0,,0,0.05,1,EQ,NSE,NSE,N
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010,4267265,16669,BAJAJ-AUTO,BAJAJ AUTO,0,,0,0.05,1,EQ,NSE,NSE,N
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024,81153,317,BAJFINANCE,BAJAJ FINANCE,0,,0,0.05,1,EQ,NSE,NSE,N
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018,4268801,16675,BAJAJFINSV,BAJAJ FINSERV.,0,,0,0.05,1,EQ,NSE,NSE,N
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011,134657,526,BPCL,BHARAT PETROLEUM CORP  LT,0,,0,0.05,1,EQ,NSE,NSE,N
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024,2714625,10604,BHARTIARTL,BHARTI AIRTEL,0,,0,0.05,1,EQ,NSE,NSE,N
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030,140033,547,BRITANNIA,BRITANNIA INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,N
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026,177665,694,CIPLA,CIPLA,0,,0,0.05,1,EQ,NSE,NSE,N
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014,5215745,20374,COALINDIA,COAL INDIA,0,,0,0.05,1,EQ,NSE,NSE,N
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024,2800641,10940,DIVISLAB,DIVI'S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,N
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023,225537,881,DRREDDY,DR. REDDY'S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,N
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01021,232961,910,EICHERMOT,EICHER MOTORS,0,,0,0.05,1,EQ,NSE,NSE,N
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021,315393,1232,GRASIM,GRASIM INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,N
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027,1850625,7229,HCLTECH,HCL TECHNOLOGIES,0,,0,0.05,1,EQ,NSE,NSE,N
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01034,341249,1333,HDFCBANK,HDFC BANK,0,,0,0.05,1,EQ,NSE,NSE,N
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014,119553,467,HDFCLIFE,HDFC LIFE INS CO,0,,0,0.05,1,EQ,NSE,NSE,N
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026,345089,1348,HEROMOTOCO,HERO MOTOCORP,0,,0,0.05,1,EQ,NSE,NSE,N
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020,348929,1363,HINDALCO,HINDALCO  INDUSTRIES ,0,,0,0.05,1,EQ,NSE,NSE,N
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027,356865,1394,HINDUNILVR,HINDUSTAN UNILEVER.,0,,0,0.05,1,EQ,NSE,NSE,N
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036,340481,1330,HDFC,HDFC,0,,0,0.05,1,EQ,NSE,NSE,N
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021,1270529,4963,ICICIBANK,ICICI BANK.,0,,0,0.05,1,EQ,NSE,NSE,N
ITC Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025,424961,1660,ITC,ITC,0,,0,0.05,1,EQ,NSE,NSE,N
Indian Oil Corporation Ltd.,OIL & GAS,IOC,EQ,INE242A01010,415745,1624,IOC,INDIAN OIL CORP,0,,0,0.05,1,EQ,NSE,NSE,N
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012,1346049,5258,INDUSINDBK,INDUSIND BANK,0,,0,0.05,1,EQ,NSE,NSE,N
Infosys Ltd.,IT,INFY,EQ,INE009A01021,408065,1594,INFY,INFOSYS,0,,0,0.05,1,EQ,NSE,NSE,N
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01038,3001089,11723,JSWSTEEL,JSW STEEL,0,,0,0.05,1,EQ,NSE,NSE,N
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028,492033,1922,KOTAKBANK,KOTAK MAHINDRA BANK,0,,0,0.05,1,EQ,NSE,NSE,N
Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030,2939649,11483,LT,LARSEN & TOUBRO.,0,,0,0.05,1,EQ,NSE,NSE,N
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,EQ,INE101A01026,519937,2031,M&M,MAHINDRA & MAHINDRA,0,,0,0.05,1,EQ,NSE,NSE,N
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010,2815745,10999,MARUTI,MARUTI SUZUKI INDIA.,0,,0,0.05,1,EQ,NSE,NSE,N
NTPC Ltd.,POWER,NTPC,EQ,INE733E01010,2977281,11630,NTPC,NTPC,0,,0,0.05,1,EQ,NSE,NSE,N
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND,EQ,INE239A01016,4598529,17963,NESTLEIND,NESTLE INDIA,0,,0,0.05,1,EQ,NSE,NSE,N
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC,EQ,INE213A01029,633601,2475,ONGC,OIL AND NATURAL GAS CORP.,0,,0,0.05,1,EQ,NSE,NSE,N
Power Grid Corporation of India Ltd.,POWER,POWERGRID,EQ,INE752E01010,3834113,14977,POWERGRID,POWER GRID CORP..,0,,0,0.05,1,EQ,NSE,NSE,N
Reliance Industries Ltd.,OIL & GAS,RELIANCE,EQ,INE002A01018,738561,2885,RELIANCE,RELIANCE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,N
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,EQ,INE123W01016,5582849,21808,SBILIFE,SBI LIFE INSURANCE CO,0,,0,0.05,1,EQ,NSE,NSE,N
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015,794369,3103,SHREECEM,SHREE CEMENT,0,,0,0.05,1,EQ,NSE,NSE,N
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020,779521,3045,SBIN,STATE BANK OF INDIA,0,,0,0.05,1,EQ,NSE,NSE,N
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036,857857,3351,SUNPHARMA,SUN PHARMACEUTICAL IND L,0,,0,0.05,1,EQ,NSE,NSE,N
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029,2953217,11536,TCS,TATA CONSULTANCY SERV LT,0,,0,0.05,1,EQ,NSE,NSE,N
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM,EQ,INE192A01025,878593,3432,TATACONSUM,TATA CONSUMER PRODUCT,0,,0,0.05,1,EQ,NSE,NSE,N
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022,884737,3456,TATAMOTORS,TATA MOTORS,0,,0,0.05,1,EQ,NSE,NSE,N
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012,895745,3499,TATASTEEL,TATA STEEL,0,,0,0.05,1,EQ,NSE,NSE,N
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036,3465729,13538,TECHM,TECH MAHINDRA,0,,0,0.05,1,EQ,NSE,NSE,N
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028,897537,3506,TITAN,TITAN COMPANY,0,,0,0.05,1,EQ,NSE,NSE,N
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036,2889473,11287,UPL,UPL,0,,0,0.05,1,EQ,NSE,NSE,N
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011,2952193,11532,ULTRACEMCO,ULTRATECH CEMENT,0,,0,0.05,1,EQ,NSE,NSE,N
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022,969473,3787,WIPRO,WIPRO,0,,0,0.05,1,EQ,NSE,NSE,N
