exchange,scrip,scrip_name,all_time_high,all_time_low,Fib 23.6,Fib 38.2,Fib 61.8,Fib 78.6
NSE,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,885.0,52.51,688.53236,566.98882,370.52117999999996,230.6628599999999
NSE,ASIANPAINT,Asian Paints Ltd.,2989.95,72.9,2301.5262,1875.6369,1187.2131,697.1486999999997
NSE,AXISBANK,Axis Bank Ltd.,827.75,59.34,646.40524,534.21738,352.87262000000004,223.77973999999995
NSE,BAJAJ-AUTO,Bajaj Auto Ltd.,4361.4,153.53,3368.3426799999997,2753.9936599999996,1760.9363399999997,1054.0141799999997
NSE,BAJFINANCE,Bajaj Finance Ltd.,5845.0,5.08,4466.77888,3614.15056,2235.92944,1254.8228799999997
NSE,BAJAJFINSV,Bajaj Finserv Ltd.,12025.0,93.1,9209.0716,7467.0142,4651.085800000001,2646.5265999999992
NSE,BPCL,Bharat Petroleum Corporation Ltd.,551.55,38.67,430.51032,355.62983999999994,234.59015999999997,148.42631999999992
NSE,BHARTIARTL,Bharti Airtel Ltd.,623.0,224.14,528.86904,470.63548000000003,376.50451999999996,309.49604
NSE,BRITANNIA,Britannia Industries Ltd.,4010.0,110.1,3089.6236,2520.2382,1599.8618000000001,944.6785999999997
NSE,CIPLA,Cipla Ltd.,966.35,170.9,778.6238000000001,662.4881,474.7619,341.1263
NSE,COALINDIA,Coal India Ltd.,447.1,112.45,368.12260000000003,319.26370000000003,240.2863,184.06509999999997
NSE,DIVISLAB,Divi's Laboratories Ltd.,4284.2,205.71,3321.67636,2726.2168199999996,1763.6931799999998,1078.50686
NSE,DRREDDY,Dr. Reddy's Laboratories Ltd.,5512.65,384.95,4302.5127999999995,3553.8686,2343.7313999999997,1482.2777999999994
NSE,EICHERMOT,Eicher Motors Ltd.,3348.0,16.0,2561.648,2075.176,1288.824,729.0479999999998
NSE,GRASIM,Grasim Industries Ltd.,1494.9,145.6,1176.4652,979.4674,661.0326,434.35019999999986
NSE,HCLTECH,HCL Technologies Ltd.,1067.0,23.69,820.7788400000001,668.45558,422.23442,246.95834000000002
NSE,HDFCBANK,HDFC Bank Ltd.,1641.0,81.47,1272.95092,1045.25954,677.21046,415.2094199999999
NSE,HDFCLIFE,HDFC Life Insurance Company Ltd.,746.0,349.75,652.485,594.6324999999999,501.1175,434.5475
NSE,HEROMOTOCO,Hero MotoCorp Ltd.,4091.95,655.0,3280.8298,2779.0351,1967.9148999999998,1390.5072999999998
NSE,HINDALCO,Hindalco Industries Ltd.,427.5,38.4,335.6724,278.86379999999997,187.03619999999998,121.66739999999999
NSE,HINDUNILVR,Hindustan Unilever Ltd.,2614.3,199.0,2044.2892000000002,1691.6554,1121.6446,715.8742
NSE,HDFC,Housing Development Finance Corporation Ltd.,2896.0,239.76,2269.12736,1881.31632,1254.44368,808.1953600000002
NSE,ICICIBANK,ICICI Bank Ltd.,679.4,49.53,530.75068,438.78965999999997,290.14034,184.32217999999995
NSE,ITC,ITC Ltd.,367.7,52.67,293.35292,247.35854,173.01146,120.08642
NSE,IOC,Indian Oil Corporation Ltd.,231.48,41.65,186.68012,158.96494,114.16506,82.27362
NSE,INDUSINDBK,IndusInd Bank Ltd.,2038.0,28.6,1563.7816,1270.4092,796.1907999999999,458.61159999999995
NSE,INFY,Infosys Ltd.,1477.55,139.95,1161.8764,966.5868,650.9132000000001,426.19640000000004
NSE,JSWSTEEL,JSW Steel Ltd.,773.0,16.89,594.55804,484.16598,305.72402,178.69754
NSE,KOTAKBANK,Kotak Mahindra Bank Ltd.,2049.0,58.0,1579.124,1288.438,818.5620000000001,484.07399999999984
NSE,LT,Larsen & Toubro Ltd.,1607.0,259.29,1288.94044,1092.1747799999998,774.11522,547.69994
NSE,M&M,Mahindra & Mahindra Ltd.,993.0,63.75,773.697,638.0264999999999,418.72350000000006,262.6095
NSE,MARUTI,Maruti Suzuki India Ltd.,9996.4,476.0,7749.5856,6359.6072,4112.7928,2513.365599999999
NSE,NTPC,NTPC Ltd.,242.29,79.6,203.89516,180.14242,141.74758,114.41565999999999
NSE,NESTLEIND,Nestle India Ltd.,18844.0,2515.0,14990.356,12606.322,8752.678,6009.405999999999
NSE,ONGC,Oil & Natural Gas Corporation Ltd.,314.57,63.0,255.19948,218.47026,159.09974,116.83597999999998
NSE,POWERGRID,Power Grid Corporation of India Ltd.,239.85,62.0,197.8774,171.91129999999998,129.93869999999998,100.0599
NSE,RELIANCE,Reliance Industries Ltd.,2369.35,267.48,1873.30868,1566.43566,1070.39434,717.28018
NSE,SBILIFE,SBI Life Insurance Company Ltd.,1044.7,533.0,923.9388,849.2306000000001,728.4694,642.5038
NSE,SHREECEM,Shree Cement Ltd.,32048.0,347.0,24566.564,19938.218,12456.782,7131.013999999999
NSE,SBIN,State Bank of India,437.95,93.4,356.63620000000003,306.3319,225.01810000000003,167.13370000000003
NSE,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,1200.8,99.77,940.95692,780.2065399999999,520.36346,335.39041999999995
NSE,TCS,Tata Consultancy Services Ltd.,3354.35,116.11,2590.12536,2117.3423199999997,1353.11768,809.0933599999998
NSE,TATACONSUM,Tata Consumer Products Ltd.,698.0,47.3,544.4348,449.4326,295.8674,186.54979999999995
NSE,TATAMOTORS,Tata Motors Ltd.,606.28,26.06,469.34808,384.63595999999995,247.70403999999996,150.22707999999994
NSE,TATASTEEL,Tata Steel Ltd.,1246.85,141.64,986.0204399999999,824.65978,563.8302199999999,378.1549399999999
NSE,TECHM,Tech Mahindra Ltd.,1081.55,56.26,839.58156,689.88922,447.92078000000004,275.67206
NSE,TITAN,Titan Company Ltd.,1621.35,36.15,1247.2428,1015.8036,641.6964,375.3828000000001
NSE,UPL,UPL Ltd.,840.85,50.67,654.36752,539.00124,352.51876,219.76851999999997
NSE,ULTRACEMCO,UltraTech Cement Ltd.,7055.95,266.0,5453.5218,4462.1891,2859.7609,1719.0492999999997
NSE,WIPRO,Wipro Ltd.,547.0,46.11,428.78996,355.66002000000003,237.44998000000004,153.30046
