scrip,scrip_name
20MICRONS,20 MICRONS LIMITED
21STCENMGM,21ST CENTURY MGMT SERVICE
3IINFOTECH,3I INFOTECH LIMITED.
3MINDIA,3M INDIA LIMITED
3PLAND,3P LAND HOLDINGS LIMITED
5PAISA,5PAISA CAPITAL LIMITED
63MOONS,63 MOONS TECHNOLOGIES LIMITED
8KMILES,8K MILES SOFT SERV LIMITED
A2ZINFRA,A2Z INFRA ENGINEERING LIMITED
AARTIDRUGS,AARTI DRUGS LIMITED.
AARTIIND,AARTI INDUSTRIES LIMITED
AARVEEDEN,AARVEE DEN. & EXP. LIMITED
AARVI,AARVI ENCON LIMITED
AAVAS,AAVAS FINANCIERS LIMITED
ABAN,ABAN OFFSHORE LIMITED.
ABB,ABB INDIA LIMITED
ABBOTINDIA,ABBOTT INDIA LIMITED
ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED.
ABFRL,ADITYA BIRLA FASHION & RT
ABGSHIP,ABG SHIPYARD LIMITED
ABHISHEK,ABHISHEK CORPORATION LIMITED
ABMINTLTD,ABM INTERNATIONAL LIMITED
ABSLBANETF,BIRLASLAMC - ABSLBANETF
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET
ACC,ACC LIMITED
ACCELYA,ACCELYA SOLN INDIA LIMITED
ACE,ACTION CONST EQUIP LIMITED
ACELAB,A C E LABORATORIES LIMITED
ACROPETAL,ACROPETAL TECH LIMITED
ADANIENT,ADANI ENTERPRISES LIMITED
ADANIGAS,ADANI GAS LIMITED
ADANIGREEN,ADANI GREEN ENERGY LIMITED
ADANIPORTS,ADANI PORT & SEZ LIMITED
ADANIPOWER,ADANI POWER LIMITED
ADANITRANS,ADANI TRANSMISSION LIMITED
ADARSHCHEM,ADARSH CHEMICALS & FERT.
ADFFOODS,ADF FOODS LIMITED
ADHUNIK,ADHUNIK METALIKS LIMITED.
ADHUNIKIND,ADHUNIK INDUSTRIES LIMITED
ADITYASPIN,ADITYA SPINNERS LIMITED
ADORWELD,ADOR WELDING LIMITED
ADROITINFO,ADROIT INFOTECH LIMITED
ADSL,ALLIED DIGITAL SERV. LIMITED
ADVANIHOTR,ADVANI HOT.& RES.(I) LIMITED
ADVENZYMES,ADVANCED ENZYME TECH LIMITED
AEC,AEC (I) LIMITED.
AEGISCHEM,AEGIS LOGISTICS LIMITED
AFFLE,AFFLE (INDIA) LIMITED
AFTEK,AFTEK  LIMITED
AGARIND,AGARWAL INDS CORP LIMITED.
AGCNET,AGC NETWORKS LIMITED
AGLSL,ARTEM GLOBAL LIFE SC LIMITED
AGRIHATCH,AGRITECH HATCHERIED AND F
AGRITECH,AGRI-TECH (INDIA) LIMITED
AGRODUTCH,AGRO DUTCH INDUSTRIES LIMITED
AGROPHOS,AGRO PHOS INDIA LIMITED
AHLEAST,ASIAN HOTELS (EAST) LIMITED
AHLUCONT,AHLUWALIA CONT IND LIMITED
AHLWEST,ASIAN HOTELS (WEST) LIMITED
AIAENG,AIA ENGINEERING LIMITED
AICHAMP,AI CHAMPDANY INDS LIMITED
AIFL,ASHAPURA INTI FASHION LIMITED
AIMCOPEST,AIMCO PESTICIDES LIMITED.
AIONJSW,MONNET ISPAT & ENERGY LIMITED
AIRAN,AIRAN LIMITED
AJANTPHARM,AJANTA PHARMA LIMITED
AJMERA,AJMERA REALTY & INF I LIMITED
AKAIMPEX,AKAI IMPEX LIMITED.
AKARLAMIN,AKAR LAMINATORS LIMITED
AKASH,AKASH INFRA-PROJECTS LIMITED
AKGACOUST,AKG ACOUSTICS (I) LIMITED.
AKSHARCHEM,AKSHARCHEM INDIA LIMITED
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED
AKZOINDIA,AKZO NOBEL INDIA LIMITED
ALANKIT,ALANKIT LIMITED
ALBERTDAVD,ALBERT DAVID LIMITED
ALBK,ALLAHABAD BANK
ALBRMORARJ,ALBRIGHT & WILSON CHE LIMITED
ALCHEM,ALCHEMIST LIMITED
ALEMBICLTD,ALEMBIC LIMITED
ALFREDHERB,ALFRED HERBERT (I) LIMITED
ALIANCREDT,ALLIANCE CREDIT & INVEST
ALICON,ALICON CASTALLOY LIMITED
ALKALI,ALKALI METALS LIMITED
ALKEM,ALKEM LABORATORIES LIMITED.
ALKYLAMINE,ALKYL AMINES CHEM. LIMITED
ALLCARGO,ALLCARGO LOGISTICS LIMITED
ALLSEC,ALLSEC TECHNOLOGIES LIMITED
ALMONDZ,ALMONDZ GLOBAL SEC LIMITED
ALOKINDS,ALOK INDUSTRIES LIMITED
ALOKTEXT,ALOK INDUSTRIES LIMITED
ALPA,ALPA LABORATORIES LIMITED
ALPHADRUG,ALPHA DRUG (I) LIMITED
ALPHAGEO,ALPHAGEO (INDIA) LIMITED
ALPINEIND,ALPINE INDUSTRIES LIMITED
ALPSINDUS,ALPS INDUSTRIES LIMITED
ALSAMARINE,ALSA MARINE AND HARVESTS
ALTOS,ALTOS (I) LIMITED
AMAR,AMAR REMEDIES LIMITED.
AMARAJABAT,AMARA RAJA BATTERIES LIMITED.
AMARDYCHEM,AMAR DYECHEM LIMITED.
AMBASARABH,AMBALAL SARABHAI ENTERP.
AMBER,AMBER ENTERPRISES (I) LIMITED
AMBICAAGAR,AMBICA AGAR & AROMAINDLTD
AMBIKCO,AMBIKA COTTON MILL LIMITED.
AMBUJACEM,AMBUJA CEMENTS LIMITED
AMBUJELCST,AMBUJA ELECTROCASTING LIMITED
AMDIND,AMD INDUSTRIES LIMITED
AMFORGEIND,AMFORGE INDUSTRIES LIMITED
AMJLAND,AMJ LAND HOLDINGS LIMITED
AMRUTANJAN,AMRUTAJAN HEALTH LIMITED
AMRUTIND,AMRUT INDUSTRIES LIMITED
AMTEKAUTO,AMTEK AUTO LIMITED.
ANANTRAJ,ANANT RAJ LIMITED
ANDHRABANK,ANDHRA BANK
ANDHRACEMT,ANDHRA CEMENTS LIMITED
ANDHRAPAP,ANDHRA PAPER LIMITED
ANDHRAPET,ANDHRA PETROCHEMICALS LIMITED
ANDHRSUGAR,ANDHRA SUGARS LIMITED
ANDREWYULE,ANDREW YULE & CO. LIMITED
ANGIND,ANG INDUSTRIES LIMITED
ANIKINDS,ANIK INDUSTRIES LIMITED
ANKITMETAL,ANKIT MET & POW LIMITED
ANSALAPI,ANSAL PROP & INFRA LIMITED
ANSALHSG,ANSAL HOUSING LIMITED
ANTFRIBEAR,ANTIFRICTION BEARING CORP
ANTGRAPHIC,ANTARCTICA LIMITED
ANUP,THE ANUP ENGINEERING LIMITED
APARINDS,APAR INDUSTRIES LIMITED.
APCL,ANJANI PORTLAND CEM LIMITED
APCOTEXIND,APCOTEX INDUSTRIES LIMITE
APEX,APEX FROZEN FOODS LIMITED
APLAPOLLO,APL APOLLO TUBES LIMITED
APLLTD,ALEMBIC PHARMA LIMITED
APOLLO,APOLLO MICRO SYSTEMS LIMITED
APOLLOHOSP,APOLLO HOSPITALS ENTER. L
APOLLOPIPE,APOLLO PIPES LIMITED
APOLLOTUBE,APOLLO TUBES LIMITED.
APOLLOTYRE,APOLLO TYRES LIMITED
APOLSINHOT,APOLLO SINDOORI HOTEL LIMITED
APPLECREDT,APPLE CREDIT CORPORATION
APPLEIND,APPLE FINANCE LIMITED
APTECHT,APTECH LIMITED
AQUA,AQUA LOGISTICS LIMITED
ARAVALISEC,ARAVALI SECURITIES AND FI
ARCHIDPLY,ARCHIDPLY IND. LIMITED
ARCHIES,ARCHIES LIMITED
ARCOTECH,ARCOTECH LIMITED
ARENTERP,RAJDARSHAN INDUSTRIES LIMITED
ARIES,ARIES AGRO LIMITED.
ARIHANT,ARIHANT FOUN & HOU LIMITED
ARIHANTSUP,ARIHANT SUPERSTRUCT LIMITED
ARMANFIN,ARMAN FIN SERV LIMITED
AROGRANITE,ARO GRANITE IND. LIMITED.
ARROWGREEN,ARROW GREENTECH LIMITED
ARROWTEX,ARROW TEXTILES LIMITED
ARSHIYA,ARSHIYA LIMITED
ARSSINFRA,ARSS INFRA PROJ. LIMITED
ARTEMISMED,ARTEMIS MED SERVICE LIMITED
ARTSONENGG,ARTSON ENGINEERING LIMITED
ARUNASUGAR,ARUNA SUGARS AND ENTERP.
ARVIND,ARVIND LIMITED
ARVINDF-RE,ARVIND FASHIONS RE
ARVINDFASN,ARVIND FASHIONS LIMITED
ARVINDREM,ARVIND REMEDIES LIMITED
ARVSMART,ARVIND SMARTSPACES LIMITED
ARYAFINFAB,ARYAN FINEFAB LIMITED
ASAHIINDIA,ASAHI INDIA GLASS LIMITED
ASAHISONG,ASAHI SONGWON COLOR LIMITED
ASAL,AUTOMOTIVE STAMPINGS & AS
ASALCBR,ASSO ALCOHOLS & BREW LIMITED
ASHAPURMIN,ASHAPURA MINECHEM LIMITED
ASHIANA,ASHIANA HOUSING LIMITED
ASHIMASYN,ASHIMA LIMITED
ASHOKA,ASHOKA BUILDCON LIMITED
ASHOKALCO,ASHOK ALCO-CHEM LIMITED
ASHOKLEY,ASHOK LEYLAND LIMITED
ASHOKORG,ASHOK ORGANIC INDUS. LIMITED.
ASIANALLOY,ASIAN ALLOYS LIMITED
ASIANCONSO,ASIAN CONSOLIDATED INDUST
ASIANELEC,ASIAN ELECTRONICS LIMITED
ASIANHOTNR,ASIAN HOTELS (NORTH) LIMITED
ASIANPAINT,ASIAN PAINTS LIMITED
ASIANTILES,ASIAN GRANITO IND. LIMITED.
ASIL,AMIT SPINNING IND. LIMITED
ASILIND,ASIL INDUSTRIES LIMITED.
ASOCALCHOL,ASSOCIATED ALCOHOL & BREW
ASOCSTONE,ASSOCIATED STONE INDUS. L
ASPINWALL,ASPINWALL & CO LIMITED
ASSAMCO,ASSAM COMPANY INDIA LIMITED
ASSAMFRONT,AFT INDUSTRIES LIMITED
ASTEC,ASTEC LIFESCIENCES LIMITED
ASTERDM,ASTER DM HEALTHCARE LIMITED.
ASTRAL,ASTRAL POLY TECH LIMITED
ASTRAMICRO,ASTRA MICROWAVE LIMITED
ASTRAZEN,ASTRAZENECA PHARMA IND LT
ASTRON,ASTRON PAPER BORD MIL LIMITED
ATASHIND,ATASH INDUSTRIES LIMITED
ATCOM,ATCOM TECHNOLOGIES LIMITED
ATFL,AGRO TECH FOODS LIMITED
ATLANTA,ATLANTA LIMITED
ATLANTSPG,ATLANTIC SPG & WVG MILLS
ATLASCOPCO,ATLAS COPCO INDIA LIMITED
ATLASCYCLE,ATLAS CYCLE (HARYANA) LIMITED
ATNINTER,ATN INTERNATIONAL LIMITED
ATUL,ATUL LIMITED
ATULAUTO,ATUL AUTO LIMITED
ATVPETRO,SVC SUPERCHEM LIMITED
ATVPROJ,ATV PROJECTS INDIA LIMITED
AUBANK,AU SMALL FINANCE BANK LIMITED
AURANPAPER,AURANGABAD PAPER MILLS LT
AURIONPRO,AURIONPRO SOLN LIMITED
AUROPHARMA,AUROBINDO PHARMA LIMITED
AUSOMENT,AUSOM ENTERPRISE LIMITED
AUSTRAL,AUSTRAL COKE & PRO LIMITED
AUTOAXLES,AUTOMOTIVE AXLES LIMITED
AUTOCORP,AUTOMOBILE CORP OF GOA LT
AUTOIND,AUTOLINE INDUSTRIES LIMITED
AUTOLEC,AUTOLEC INDUSTRIES  LIMITED
AUTOLITIND,AUTOLITE (INDIA) LIMITED
AUTOPALIND,AUTOPAL INDUSTRIES LIMITED
AUTORIDFIN,AUTORIDERS FINANCE LIMITED
AVADHSUGAR,AVADH SUG & ENERGY LIMITED
AVANTIFEED,AVANTI FEEDS LIMITED
AVERY,AVERY  (I)  LIMITED
AVONIND,AVON INDUSTRIES LIMITED
AVTNPL,AVT NATURAL PRODUCTS LIMITED
AXISBANK,AXIS BANK LIMITED
AXISCADES,AXISCADES ENGG TECH LIMITED
AXISGOLD,AXIS MF - AXIS GOLD ETF
AXISNIFTY,AXISAMC - AXISNIFTY
AYMSYNTEX,AYM SYNTEX LIMITED
BAFNAPH,BAFNA PHARMACEUTICALS LIMITED
BAFNAPHARM,BAFNA PHARMACEUTICALS L
BAGFILMS,B.A.G FILMS AND MEDIA LIMITED
BAGWATIGAS,BHAGWATI GASES LIMITED.
BAJAJ-AUTO,BAJAJ AUTO LIMITED
BAJAJCON,BAJAJ CONSUMER CARE LIMITED
BAJAJELEC,BAJAJ ELECT.LTD
BAJAJFINSV,BAJAJ FINSERV LIMITED.
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LIMITED
BAJAJTEMPO,BAJAJ TEMPO LIMITED
BAJFINANCE,BAJAJ FINANCE LIMITED
BAKELHYLAM,BAKELITE HYLAM LIMITED.
BALAJHOTEL,BALAJI HOTELS & ENTER. LT
BALAJIDIST,BALAJI DISTILLERIES LIMITED
BALAJIIND,BALAJI INDUSTRIAL CORP. L
BALAJITELE,BALAJI TELEFILMS LIMITED.
BALAMINES,BALAJI AMINES LIMITED
BALAXI,BALAXI VENTURES LIMITED
BALKRISHNA,BALKRISHNA PAPER MILLS L
BALKRISIND,BALKRISHNA IND. LIMITED
BALLARPUR,BALLARPUR INDUSTRIES LIMITED
BALMLAWRIE,BALMER LAWRIE & CO LIMITED
BALPHARMA,BAL PHARMA LIMITED.
BALRAMCHIN,BALRAMPUR CHINI MILLS LIMITED
BALURTRANS,BALURGHAT TECHNOLOGIES LT
BANARBEADS,BANARAS BEADS LIMITED
BANARISUG,BANNARI AMMAN SUGARS LIMITED
BANCOINDIA,BANCO PRODUCTS (I) LIMITED
BANCOPROD,BANCO PRODUCTS (I) LIMITED.
BANDHANBNK,BANDHAN BANK LIMITED
BANG,BANG OVERSEAS LIMITED.
BANKBARODA,BANK OF BARODA
BANKBEES,NIPPONINDIA ETF BANK BEES
BANKBENAV,BANK BEES NAV
BANKINDIA,BANK OF INDIA
BANSWRAS,BANSWARA SYNTEX LIMITED
BARODARAYN,BARODA RAYON CO LIMITED
BARTRONICS,BARTRONICS INDIA LIMITED
BASF,BASF INDIA LIMITED
BASML,BANNARI AM SPIN MILL LIMITED.
BATAINDIA,BATA INDIA LIMITED
BAUSCHLOMB,RAYBAN SUN OPTICS IND LIMITED
BAYERCROP,BAYER CROPSCIENCE LIMITED
BBL,BHARAT BIJLEE LIMITED
BBTC,BOMBAY BURMAH TRADING COR
BCG,BRIGHTCOM GROUP LIMITED
BCP,B.C. POWER CONTROLS LIMITED
BDL,BHARAT DYNAMICS LIMITED
BEARDSELL,BEARDSELL LIMITED
BECREL,BEST & CROMPTON ENGG LIMITED
BEDMUTHA,BEDMUTHA INDUST LIMITED
BEL,BHARAT ELECTRONICS LIMITED
BELCONTROL,BELLS CONTROLS LIMITED.
BELLARYSTL,BELLARY STEELS AND ALLOYS
BEML,BEML LIMITED
BEPL,BHANSALI ENG. POLYMERS LT
BERGEPAINT,BERGER PAINTS (I) LIMITED
BESTAVISON,BESTA VISION ELECTRONICS
BESTCROMP,BEST & CROMPTON LIMITED.
BETANAPTOL,BETA NAPHTHOL LIMITED
BFINVEST,BF INVESTMENT LIMITED
BFUTILITIE,BF UTILITIES LIMITED
BGLOBAL,BHARATIYA GLOBAL INFO LIMITED
BGRENERGY,BGR ENERGY SYSTEMS LIMITED
BHAGERIA,BHAGERIA INDUSTRIES LIMITED
BHAGYANGR,BHAGYANAGAR INDIA LIMITED
BHAGYAPROP,BHAGYANAGAR PRO LIMITED
BHANDARI,BHANDARI HOSIERY EXP LIMITED
BHARATFIN,BHARAT FIN INCLUSION LIMITED
BHARATFORG,BHARAT FORGE LIMITED
BHARATGEAR,BHARAT GEARS LIMITED.
BHARATHOT,BHARAT HOTELS LIMITED
BHARATIDIL,BHARATI DEF & INFRA LIMITED
BHARATRAS,BHARAT RASAYAN LIMITED
BHARATWIRE,BHARAT WIRE ROPES LIMITED.
BHARTIARTL,BHARTI AIRTEL LIMITED
BHEL,BHEL
BHUPENCAP,BHUPENDRA CAP & FINANCE
BIGBLOC,BIGBLOC CONSTRUCTION LIMITED
BIHARALLOY,UMI SPECIAL STEEL LIMITED
BIHARCAUST,BIHAR CAUSTICS AND CHEM.
BIHARSPONG,BIHAR SPONGE IRON LIMITED.
BIL,BHARTIYA INTERNATIONAL
BILENERGY,BIL ENERGY SYSTEMS LIMITED
BILPOWER,BILPOWER LIMITED
BIMETBRG,BIMETAL BEARINGS LIMITED
BINANIIND,BINANI INDUSTRIES LIMITED
BINDALAGRO,OSWAL CHEM. & FERT. LIMITED.
BIOCON,BIOCON LIMITED.
BIOFILCHEM,BIOFIL CHEM & PHARMA LIMITED
BIRLACABLE,BIRLA CABLE LIMITED
BIRLACORPN,BIRLA CORPORATION LIMITED
BIRLAMONEY,ADITYA BIRLA MONEY LIMITED
BIRLAPOWER,BIRLA POWER SOL. LIMITED
BIRLATYRE,BIRLA TYRES LIMITED
BIRLAYAMAH,BIRLA YAMAHA LIMITED
BKMINDST,BKM INDUSTRIES LIMITED
BLBLIMITED,BLB LIMITED
BLISSGVS,BLISS GVS PHARMA LIMITED
BLKASHYAP,B.L.KASHYAP & SON LIMITED
BLS,BLS INTL SERVS LIMITED
BLUEBLENDS,BLUE BLENDS (I) LIMITED
BLUECHIP,BLUE CHIP INDIA LIMITED
BLUECOAST,BLUE COAST HOTELS LIMITED
BLUEDART,BLUE DART EXPRESS LIMITED
BLUESTARCO,BLUE STAR LIMITED
BODALCHEM,BODAL CHEMICALS LIMITED
BOMDYEING,BOMBAY DYEING & MFG. CO L
BOROGLASS,BOROSIL GLASS WORKS LIMITED.
BORORENEW,BOROSIL RENEWABLES LIMITED
BOSCHLTD,BOSCH LIMITED
BPCL,BHARAT PETROLEUM CORP  LT
BPL,BPL LIMITED
BRANDHOUSE,BRANDHOUSE RETAILS LIMITED
BRFL,BOMBAY RAYON FASHIONS LIMITED
BRIGADE,BRIGADE ENTER. LIMITED
BRIGHTBROS,BRIGHT BROTHERS LIMITED
BRITANNIA,BRITANNIA INDUSTRIES LIMITED
BRITEAUTO,BRITE AUTOMOTIVE & PLAST
BRNL,BHARAT ROAD NETWORK LIMITED
BROADCAST,BROADCAST INITIAT LIMITED
BROOKS,BROOKS LAB LIMITED
BSE,BSE LIMITED
BSELINFRA,BSEL INFRASTRUCTURE REALT
BSI,BSI LIMITED.
BSL,BSL LIMITED
BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR
BSLIMITED,BS LIMITED
BSLNIFTY,ADITYBIRLA SL NIF ETF-GR
BSOFT,BIRLASOFT LIMITED
BTWIND,BTW INDUSTRIES LIMITED
BURNPUR,BURNPUR CEMENT LIMITED.
BURRBROWN,BURR BROWN (I) LIMITED
BURRWELCOM,BURROUGHS WELLCOME (INDIA
BUTTERFLY,BTRFLY GANDHI APPL LIMITED
BUWALKASTL,BHUWALKA STEEL INDUS. LIMITED
BVCL,BARAK VALLEY CEM. LIMITED.
BYKE,THE BYKE HOSPITALITY LIMITED
CABOTINDIA,CABOT INDIA LIMITED
CADBURY,CADBURY INDIA LIMITED
CADILAHC,CADILA HEALTHCARE LIMITED
CALSOFT,CALIFORNIA SOFTWARE CO LT
CAMLINFINE,CAMLIN FINE SCIENCES LIMITED
CAMPALLIED,CAMPHOR AND ALLIED PRODUC
CANBK,CANARA BANK
CANDC,C&C CONST. LIMITED.
CANFINHOME,CAN FIN HOMES LIMITED
CANTABIL,CANTABIL RETAIL LIMITED
CAPACITE,CAPACITE INFRAPROJECT LIMITED
CAPF,CAPITAL FIRST LIMITED
CAPLIPOINT,CAPLIN POINT LAB LIMITED.
CAPRIHANS,CAPRIHANS INDIA LIMITED
CAPTRUST,CAPITAL TRUST LIMITED
CARBORUNIV,CARBORUNDUM UNIVERSAL LIMITED
CAREERP,CAREER POINT LIMITED
CARERATING,CARE RATINGS LIMITED
CARRIERAIR,CARRIER AIRCON LIMITED
CASTEXTECH,CASTEX TECHNOLOGIES LIMITED.
CASTROLIND,CASTROL INDIA LIMITED
CCCL,CONS. CONST. CONSORT LIMITED
CCHHL,COUNTRY CLUB HOSP HOL LIMITED
CCI,CABLE CORPN. OF INDIA LIMITED
CCL,CCL PRODUCTS (I) LIMITED
CDSL,CENTRAL DEPO SER (I) LIMITED
CEATLTD,CEAT LIMITED
CEBBCO,COMMERCIAL ENG & CO. LIMITED
CEENIKEXPO,CEENIK EXPORTS (I) LIMITED
CELEBRITY,CELEBRITY FASHIONS LIMITED
CELESTE,CELESTE INTERNATIONAL LIMITED
CELESTIAL,CELESTIAL BIOLABS LIMITED
CENTAKCHEM,CENTAK CHEMICALS LIMITED
CENTENKA,CENTURY ENKA LIMITED
CENTEXT,CENTURY EXTRUSIONS LIMITED
CENTRALBK,CENTRAL BANK OF INDIA
CENTRLROAD,CENTRAL  ROADLINES CORPN
CENTRUM,CENTRUM CAPITAL LIMITED
CENTUM,CENTUM ELECTRONICS LIMITED
CENTURYPLY,CENTURY PLYBOARDS (I) LIMITED
CENTURYTEX,CENTURY TEXTILES LIMITED
CERA,CERA SANITARYWARE LIMITED
CEREBRAINT,CEREBRA INT TECH LIMITED
CESC,CESC LIMITED
CESCVENT,CESC VENTURES LIMITED
CGCL,CAPRI GLOBAL CAPITAL LIMITED
CGGLASS,CG GLASS LIMITED
CGPOWER,CG POWER AND IND SOL LIMITED
CHALET,CHALET HOTELS LIMITED
CHAMBLFERT,CHAMBAL FERTILIZERS LIMITED
CHEMBOND,CHEMBOND CHEMICALS LIMITED
CHEMFAB,CHEMFAB ALKALIS LIMITED
CHEMOXSEC,CHEMOX SECURITIES LIMITED
CHENNPETRO,CHENNAI PETROLEUM CORP LT
CHETNADCEM,CHETTINAD CEMENT LIMITED
CHOKAINTL,CHOKHANI INTERNATIONAL LT
CHOKSITUBE,CHOKSI TUBE CO. LIMITED
CHOLAFIN,CHOLAMANDALAM IN & FIN CO
CHOLAHLDNG,CHOLAMANDALAM FIN HOL LIMITED
CHOWGULSTM,CHOWGULE STEAMSHIPS LIMITED
CHROMATIC,CHROMATIC INDIA LIMITED
CIBASPEC,CIBA SPECIALITY CHEM LIMITED
CIGNITITEC,CIGNITI TECHNOLOGIES LIMITED
CIMCOBIRLA,CIMMCO BIRLA LIMITED
CIMMCO,CIMMCO LIMITED
CINELINE,CINELINE INDIA LIMITED
CINEVISTA,CINEVISTA LIMITED
CIPLA,CIPLA LIMITED
CITURGIBIO,CITURGIA BIOCHEMICALS LIMITED
CKFSL,COX & KINGS FIN SERV LIMITED
CLASSIC,CLASSIC DIAMONDS (I) LIMITED
CLEDUCATE,CL EDUCATE LIMITED
CLIFCO,COIMBATORE LAKSHMI INVEST
CLNINDIA,CLARIANT CHEMICALS (INDIA
CLUTCHAUTO,CLUTCH AUTO LIMITED
CMAHENDRA,C.MAHENDRA EXPORTS LIMITED
CMICABLES,CMI LIMITED
CNOVAPETRO,CIL NOVA PETROCHEM LIMITED
COALINDIA,COAL INDIA LIMITED
COCHINSHIP,COCHIN SHIPYARD LIMITED
COFFEEDAY,COFFEE DAY ENTERPRISE LIMITED
COLPAL,COLGATE PALMOLIVE LIMITED.
COMPACDISC,COMPACT DISC LIMITED
COMPINFO,COMPUAGE INFOCOM LIMITED
COMPUSOFT,COMPUCOM SOFTWARE LIMITED
CONCOR,CONTAINER CORP OF IND LIMITED
CONFIPET,CONFIDENCE PETRO IND LIMITED.
CONSOFINVT,CONSO. FIN. & HOLD. LIMITED.
CONTNLCONS,CONTINENTAL CONSTRUCTIONS
CONTROLPR,CONTROL PRINT LIMITED
CORALFINAC,CORAL INDIA FIN & HOUS LT
CORDSCABLE,CORDS CABLE INDUS LIMITED.
COREEDUTEC,CORE EDUCATION & TECH LIMITED
COROMANDEL,COROMANDEL INTERNTL. LIMITED
CORPBANK,CORPORATION BANK
COSMOFILMS,COSMO FILMS LIMITED
COUNCODOS,COUNTRY CONDO'S LIMITED
COX&KINGS,COX & KINGS LIMITED
CPSEETF,CPSE ETF
CPSEETFNAV,CPSE ETF NAV
CRANESSOFT,CRANES SOFTWARE INTL LIMITED
CREATIVE,CREATIVE PERI & DIST LIMITED.
CREATIVEYE,CREATIVE EYE LIMITED
CREDITACC,CREDITACCESS GRAMEEN LIMITED
CREST,CREST VENTURES LIMITED
CRESTANI,CREST ANIMATION STUDIOS L
CRISIL,CRISIL LIMITED
CRMFGETF,CAN ROBECO - GOLD ETF
CROMPTON,CROMPT GREA CON ELEC LIMITED
CSBBANK,CSB BANK LIMITED
CTCOTTON,CT COTTON YARN LIMITED
CTE,CAMBRIDGE TECH ENTER LIMITED
CUB,CITY UNION BANK LIMITED
CUBEXTUB,CUBEX TUBINGS LIMITED
CUMMINSIND,CUMMINS INDIA LIMITED
CUPID,CUPID LIMITED
CURATECH,CURA TECHNOLOGIES LIMITED
CYBERMEDIA,CYBER MEDIA (INDIA) LIMITED.
CYBERTECH,CYBERTECH SYSTEMS & SOFTW
CYIENT,CYIENT LIMITED
DAAWAT,LT FOODS LIMITED
DABUR,DABUR INDIA LIMITED
DAGERFORST,DAGGER-FORST TOOLS LIMITED
DAICHIKARK,DAI ICHI KARKARIA LIMITED
DALALSTCOM,DSJ COMMUNICATIONS LIMITED
DALBHARAT,DALMIA BHARAT LIMITED
DALMIABHA,DALMIA BHARAT LIMITED
DALMIASUG,DALMIA BHARAT SUG IN LIMITED
DAMANIAAIR,SKYLINE NEPC LIMITED.
DAMODARIND,DAMODAR INDUSTRIES LIMITED
DATAMATICS,DATAMATICS GLOBAL SER LIMITED
DATAPROINF,DATAPRO INFORMATION TECHN
DATARSWICH,DATAR SWITCHGEAR LIMITED.
DAURALAORG,DAURALA ORGANICS LIMITED
DBCORP,D.B.CORP LIMITED
DBL,DILIP BUILDCON LIMITED
DBREALTY,D B REALTY LIMITED
DBSTOCKBRO,DB (INT) STOCK BROKERS
DCAL,DISHMAN CARBO AMCIS LIMITED
DCBBANK,DCB BANK LIMITED
DCM,DCM LIMITED
DCMDAEWOO,DCM DAEWOO MOTORS LIMITED
DCMFINSERV,DCM FINANCIAL SERVICES LT
DCMNVL,DCM NOUVELLE LIMITED
DCMSHRIRAM,DCM SHRIRAM LIMITED
DCMSRMIND,DCM SHRIRAM INDUSTRIES LT
DCW,DCW LIMITED
DECANGRAN,DECCAN GRANITES LIMITED
